author_id,author_name,author_affiliation_name
36197354200,"Syaifudin, ",Universiti Utara Malaysia
7801340484,"Yaakub, Abdul Razak B.",Universiti Utara Malaysia
55624001100,"Ying, Teh Yuan",Universiti Utara Malaysia
56567662900,"Rashid, Ramlah Abd",Universiti Utara Malaysia
55620883300,"Lee, Janice Y.M.",Universiti Utara Malaysia
6507791560,"Mansor, Yushiana",Universiti Utara Malaysia
36447788300,"Saad, Mohd Nizam",Universiti Utara Malaysia
57190617093,"Ahmad, Mohamad Zaki",Universiti Utara Malaysia
56940843700,"Asyiek, Fauziah",Universiti Utara Malaysia
36147824300,"Lamsali, Hendrik",Universiti Utara Malaysia
35101804300,"Elfouly, Tarek",Universiti Utara Malaysia
56196263100,"Alzoubi, Ebraheem Saleem Salem",Universiti Utara Malaysia
57001458700,"Lee, Khai Loon",Universiti Utara Malaysia
57063079900,"Alotaibi, Ghanem Barjes G.",Universiti Utara Malaysia
56658305700,"Gill, Abid Rashid",Universiti Utara Malaysia
57204960934,"Aziz, Ahmad Shamsul Abd",Universiti Utara Malaysia
36559291800,"Ibrahim, Jafni A.",Universiti Utara Malaysia
57192384272,"Mohammed, Rosli",Universiti Utara Malaysia
55595930400,"Abdullah, Hussin",Universiti Utara Malaysia
56968182900,"Chyuan, Wong Woei",Universiti Utara Malaysia
57189071985,"Rahim, Rahela Abdul",Universiti Utara Malaysia
23010763400,"Tang, Chor Foon",Universiti Utara Malaysia
57204968560,"Dahaman Dahlan, Mohd Akram Bin Dato’",Universiti Utara Malaysia
